t_minus_t0_M,NRHybSur3dq8_CCE_energy_radiated_over_M,SEOBNRv5EHM_energy_radiated_over_M,NRHybSur3dq8_CCE_angular_momentum_z_radiated_over_M2,SEOBNRv5EHM_angular_momentum_z_radiated_over_M2,NRHybSur3dq8_CCE_planar_momentum_over_M,SEOBNRv5EHM_planar_momentum_over_M
58352.0,1.3678549907701305e-05,1.3676314774196824e-05,0.007398993415042399,0.007397762839383683,3.5812507171064053e-09,3.5809652227097028e-09
59100.0,1.3857635291490695e-05,1.3855370626264271e-05,0.0074952494309053165,0.007494002678371026,6.673509246338395e-09,6.67177317717399e-09
59236.0,1.3890206737634654e-05,1.3887936676859122e-05,0.007512754449349105,0.007511504747238603,6.923572937976815e-09,6.9218634406543416e-09
60000.0,1.407324146799117e-05,1.4070941029742966e-05,0.007611113899434685,0.0076098476101790855,6.255281652930542e-09,6.25305914560533e-09
60120.0,1.4101999616649574e-05,1.4099694394820485e-05,0.007626566491418529,0.007625297592887091,5.843486736849603e-09,5.841314065433476e-09
60900.0,1.4288988682567449e-05,1.4286652351424817e-05,0.007727031252655557,0.007725745384971403,1.7026787463244798e-09,1.7014266737453678e-09
61004.0,1.4313928562571501e-05,1.4311588080694487e-05,0.007740429556406387,0.007739141424120164,1.031833663702069e-09,1.0307755020934112e-09
61800.0,1.4504876823969682e-05,1.4502504704306266e-05,0.007843001463851014,0.007841696035275647,3.986476185669515e-09,3.985934531933907e-09
61888.0,1.4525993457950342e-05,1.4523617842327553e-05,0.007854343612837218,0.007853036271594248,4.453486334805521e-09,4.4529541031451786e-09
62680.0,1.4716103796369504e-05,1.4713696860915257e-05,0.007956445681663553,0.007955121178325074,7.015113596779053e-09,7.013152168425599e-09
62772.0,1.4738194422198647e-05,1.473578384293028e-05,0.007968308684440298,0.007966982185634859,7.0833513259882694e-09,7.081597045698592e-09
63580.0,1.4932271192582997e-05,1.4929828672399233e-05,0.008072520567253619,0.008071176571569994,5.5120274938419e-09,5.5098834608967905e-09
63657.0,1.4950772096467907e-05,1.4948326522504911e-05,0.008082453884508534,0.008081108218187064,5.177039367569041e-09,5.175065639277405e-09
64480.0,1.5148580312487959e-05,1.5146102065302787e-05,0.008188648547885865,0.00818728501420621,3.784808025571475e-10,3.775968866494127e-10
64541.0,1.51632463990671e-05,1.5160765721277303e-05,0.00819652136817379,0.008195156506860068,1.4093971087454708e-10,1.3928813615472693e-10
65380.0,1.536503134117029e-05,1.5362517150875027e-05,0.008304829690313747,0.008303446538503066,5.040569045056953e-09,5.039648880158661e-09
65425.0,1.5375857626534898e-05,1.5373341627164573e-05,0.0083106401460502,0.00830925600888318,5.2459204318972455e-09,5.245085264350571e-09
66280.0,1.5581624385814677e-05,1.5579074096477378e-05,0.008421064025793233,0.008419661195783542,7.09714406096617e-09,7.0949827535940885e-09
66309.0,1.558860586587056e-05,1.5586054404207884e-05,0.008424810242371676,0.00842340677473833,7.083550593670651e-09,7.081675077182406e-09
67160.0,1.579354158462716e-05,1.5790956041559365e-05,0.00853476681364146,0.008533344749054447,4.552579500293003e-09,4.550573146655519e-09
67193.0,1.580149112893822e-05,1.5798904259216385e-05,0.008539031660482315,0.008537608872562871,4.38243098292737e-09,4.380631874285923e-09
68060.0,1.60104155612063e-05,1.600779415102132e-05,0.008651106366659314,0.008649664684680666,1.0311311507139697e-09,1.0316672732268052e-09
68077.0,1.6014513442015395e-05,1.601189135152598e-05,0.008653304405391901,0.008651862351704615,1.1416090829167515e-09,1.142121208872563e-09
68960.0,1.6227431796352457e-05,1.6224774620057296e-05,0.008767499173498365,0.008766037909282267,5.921437374893614e-09,5.920161030859132e-09
68961.0,1.6227673006434767e-05,1.6225015788696557e-05,0.00876762852912462,0.008766167242519236,5.925062486261763e-09,5.9238334217547646e-09
